1C:99:4C	MurataMa	Murata Manufacturing Co., Ltd.
1C:99:57	IntelCor	Intel Corporate
1C:9C:26	ZoovelTe	Zoovel Technologies
1C:9C:8C	JuniperN	Juniper Networks
1C:9D:3E	Integrat	Integrated Device Technology (Malaysia) Sdn. Bhd.
1C:9D:72	Technico	Technicolor CH USA Inc.
1C:9D:C2	Espressi	Espressif Inc.
1C:9E:46	Apple	Apple, Inc.
1C:9E:CB	BeijingN	Beijing Nari Smartchip Microelectronics Company Limited
1C:9E:CC	Technico	Technicolor CH USA Inc.
1C:9F:4E	CooseaGr	Coosea Group (Hk) Company Limited
1C:A0:B8	HonHaiPr	Hon Hai Precision Industry Co., Ltd.
1C:A0:D3	IEEERegi	IEEE Registration Authority
1C:A0:D3:00:00:00/28	Tekhnotr	OOO Tekhnotronika
1C:A0:D3:10:00:00/28	Jabilcir	Jabil circuit italia srl
1C:A0:D3:20:00:00/28	NovTech	NovTech, Inc.
1C:A0:D3:30:00:00/28	Savelec
1C:A0:D3:40:00:00/28	NpoTelec	Npo Telecom Jsc
1C:A0:D3:50:00:00/28	DynamicC	Dynamic Connect (Suzhou) Hi-Tech Electronic Co.,Ltd.
1C:A0:D3:60:00:00/28	Intertec	Intertecno SRL "NISUTA"
1C:A0:D3:70:00:00/28	U-TXTech	U-TX Technologies Ltd
1C:A0:D3:80:00:00/28	Desarrol	Desarrollos y Soluciones Guinea I+D S.L.
1C:A0:D3:90:00:00/28	CirqueAu	Cirque Audio Technology Co., Ltd
1C:A0:D3:A0:00:00/28	DSMMesst	DSM Messtechnik GmbH
1C:A0:D3:B0:00:00/28	GuangDon	Guang Dong He Zheng Network Technology Co.,Ltd
1C:A0:D3:C0:00:00/28	LYT	LYT inc.
1C:A0:D3:D0:00:00/28	ERATOHK	ERATO (HK) Corporation Limited
1C:A0:D3:E0:00:00/28	ExicomTe	Exicom Tele-Systems Ltd.
1C:A0:EF	IEEERegi	IEEE Registration Authority
1C:A0:EF:00:00:00/28	Tangshan	Tangshan Liulin Automation Equipment Co., Ltd.
1C:A0:EF:10:00:00/28	Wisnuand	Wisnu and Supak Co.,Ltd.
1C:A0:EF:20:00:00/28	Schneide	Schneider-Electric(China)Co.Ltd,Shenzhen Branch
1C:A0:EF:30:00:00/28	Sequent	Sequent AG
1C:A0:EF:40:00:00/28	Leviatha	Leviathan Solutions Ltd.
1C:A0:EF:50:00:00/28	NanjingB	Nanjing Bilin Intelligent Identification Technology Co.,Ltd
1C:A0:EF:60:00:00/28	HanjenCh	Hanjen.Chin Co., Ltd.
1C:A0:EF:70:00:00/28	tec5AG
1C:A0:EF:80:00:00/28	Zillnk
1C:A0:EF:90:00:00/28	AtlasAer	Atlas Aerospace
1C:A0:EF:A0:00:00/28	HenrichE	Henrich Electronics Corporation
1C:A0:EF:B0:00:00/28	BMKprofe	BMK professional electronics GmbH
1C:A0:EF:C0:00:00/28	GagarIn	LLC "Gagar.In"
1C:A0:EF:D0:00:00/28	Shenzhen	Shenzhen Liandian Communication Technology Co.LTD
1C:A0:EF:E0:00:00/28	RDAMicro	RDA Microelectronics Technologies (Shanghai) Co. , Ltd
1C:A2:B1	ruwidoau	ruwido austria gmbh
1C:A4:10	Amlogic	Amlogic, Inc.
1C:A5:32	Shenzhen	Shenzhen Gongjin Electronics Co.,Lt
1C:A6:81	HuaweiTe	Huawei Technologies Co.,Ltd
1C:A7:70	Shenzhen	Shenzhen Chuangwei-Rgb Electronics Co.,Ltd
1C:A8:52	SensaioP	Sensaio Pte Ltd
1C:AA:07	Cisco	Cisco Systems, Inc
1C:AB:01	Innovolt
1C:AB:34	NewH3CTe	New H3C Technologies Co., Ltd
1C:AB:A7	Apple	Apple, Inc.
1C:AB:C0	HitronTe	Hitron Technologies. Inc
1C:AD:D1	BosungEl	Bosung Electronics Co., Ltd.
1C:AE:3E	IEEERegi	IEEE Registration Authority
1C:AE:3E:00:00:00/28	DaoQinTe	Dao Qin Technology Co.Ltd.
1C:AE:3E:10:00:00/28	IPROAD	IPROAD,Inc
1C:AE:3E:20:00:00/28	Linkwise	Linkwise Technologies Co., Limited
1C:AE:3E:30:00:00/28	HagerEne	HagerEnergy GmbH
1C:AE:3E:40:00:00/28	PHUMeter	P.H.U. Metering Anna Moder
1C:AE:3E:50:00:00/28	Netvio	Netvio Ltd
1C:AE:3E:60:00:00/28	Annapurn	Annapurna labs
1C:AE:3E:70:00:00/28	NextDriv	NextDrive Co.
1C:AE:3E:80:00:00/28	JingQiti	JingQi(tianjin) technology Co., Ltd
1C:AE:3E:90:00:00/28	ChinaCon	China Convert Technology Co., Ltd.
1C:AE:3E:A0:00:00/28	BeijingS	Beijing SuperCloud Technology Co., Ltd.
1C:AE:3E:B0:00:00/28	BeijingB	Beijing Boyan-rd Technology Development CO.,LTD
1C:AE:3E:C0:00:00/28	QuESTRai	QuEST Rail LLC
1C:AE:3E:D0:00:00/28	Forme
1C:AE:3E:E0:00:00/28	Broachli	Broachlink Technology Co.,Limited
1C:AE:CB	HuaweiTe	Huawei Technologies Co.,Ltd
1C:AF:05	SamsungE	Samsung Electronics Co.,Ltd
1C:AF:4A	SamsungE	Samsung Electronics Co.,Ltd
1C:AF:F7	D-LinkIn	D-Link International
1C:B0:44	AskeyCom	Askey Computer Corp
1C:B0:94	HTC	HTC Corporation
1C:B1:7F	NECPlatf	NEC Platforms, Ltd.
1C:B2:43	Tdc	Tdc A/S
1C:B3:C9	Apple	Apple, Inc.
1C:B3:E9	Shenzhen	Shenzhen Zhongke United Communication Technology
1C:B7:2C	ASUSTekC	ASUSTek COMPUTER INC.
1C:B7:96	HuaweiTe	Huawei Technologies Co.,Ltd
1C:B8:57	BeconTec	Becon Technologies Co,.Ltd.
1C:B8:BA	XiamenLe	Xiamen Leelen Technology Co., Ltd
1C:B9:C4	RuckusWi	Ruckus Wireless
1C:BA:8C	TexasIns	Texas Instruments
1C:BB:A8	OJSCUfim	OJSC "Ufimskiy Zavod "Promsvyaz"
1C:BC:EC	silextec	silex technology, Inc.
1C:BD:0E	Amplifie	Amplified Engineering Pty Ltd
1C:BD:B9	D-LinkIn	D-Link International
1C:BF:C0	Chongqin	Chongqing Fugui Electronics Co.,Ltd.
1C:BF:CE	Shenzhen	Shenzhen Century Xinyang Technology Co., Ltd
1C:C0:35	PlanexCo	Planex Communications Inc.
1C:C0:E1	IEEERegi	IEEE Registration Authority
1C:C0:E1:00:00:00/28	Shenzhen	Shenzhen Highsharp Electronics Ltd.
1C:C0:E1:10:00:00/28	Hangzhou	Hangzhou Kaierda Electric Welding Machine Co.,Ltd
1C:C0:E1:20:00:00/28	AbbottMe	Abbott Medical Optics Inc.
1C:C0:E1:30:00:00/28	Hangzhou	Hangzhou Softel Optic Co., Ltd
1C:C0:E1:40:00:00/28	Videri	Videri Inc.
1C:C0:E1:50:00:00/28	KidsWire	Kids Wireless Inc
1C:C0:E1:60:00:00/28	Monument	Monument Labs, Inc.
1C:C0:E1:70:00:00/28	Shenzhen	Shenzhen Kinstone D&T Develop Co.,Ltd
1C:C0:E1:80:00:00/28	LX	LX Corporation Pty Ltd
1C:C0:E1:90:00:00/28	Ospicon	Ospicon Company Limited
1C:C0:E1:A0:00:00/28	Secheron	Secheron Sa
1C:C0:E1:B0:00:00/28	ExigentS	Exigent Sensors
1C:C0:E1:C0:00:00/28	NittoSei	Nitto Seiko
1C:C0:E1:D0:00:00/28	NewLandN	NewLand (NZ) Communication Tech Limited
1C:C0:E1:E0:00:00/28	YunYangF	Yun Yang Fire Safety Equipment Co.,Ltd.
1C:C1:0C	IntelCor	Intel Corporate
1C:C1:1A	Wavetron	Wavetronix
1C:C1:BC	YichipMi	Yichip Microelectronics (Hangzhou) Co.,Ltd
1C:C1:DE	HewlettP	Hewlett Packard
1C:C3:16	MileSigh	MileSight Technology Co., Ltd.
1C:C3:EB	Guangdon	Guangdong Oppo Mobile Telecommunications Corp.,Ltd
1C:C5:86	Absolute	Absolute Acoustics
1C:C6:3C	Arcadyan	Arcadyan Technology Corporation
1C:C7:2D	Shenzhen	Shenzhen Huapu Digital CO.,Ltd
1C:CA:E3	IEEERegi	IEEE Registration Authority
1C:CA:E3:00:00:00/28	Private
1C:CA:E3:10:00:00/28	PgaElect	Pga Electronic
1C:CA:E3:20:00:00/28	Insigma	Insigma Inc
1C:CA:E3:30:00:00/28	Shenzhen	Shenzhen Smart Device Technology Co.,LTD
1C:CA:E3:40:00:00/28	SunrayMe	Sunray Medical Apparatus Co.,Ltd.
1C:CA:E3:50:00:00/28	TengFeng
1C:CA:E3:60:00:00/28	TokaiRik	Tokai Rika Co., Ltd.
1C:CA:E3:70:00:00/28	BirdHome	Bird Home Automation GmbH
1C:CA:E3:80:00:00/28	OxySec	OxySec S.r.l.
1C:CA:E3:90:00:00/28	Shin-Yos	Shin-Yosha Corporation
1C:CA:E3:A0:00:00/28	Sirea
1C:CA:E3:B0:00:00/28	DreamVis	Dream Visions Co., LTD
1C:CA:E3:C0:00:00/28	Gahdeung	Gahdeung Elecom
1C:CA:E3:D0:00:00/28	eSight	eSight Corporation
1C:CA:E3:E0:00:00/28	DabiAtla	Dabi Atlante S/A Industrias Medico Odontológicas
1C:CA:E3:F0:00:00/28	Private
1C:CB:99	TCTmobil	TCT mobile ltd
1C:CC:D6	XiaomiCo	Xiaomi Communications Co Ltd
1C:CD:E5	Shanghai	Shanghai Wind Technologies Co.,Ltd
1C:D1:07	RealmeCh	Realme Chongqing Mobile Telecommunications Corp.,Ltd.
1C:D1:BA	Fiberhom	Fiberhome Telecommunication Technologies Co.,LTD
1C:D1:E0	Cisco	Cisco Systems, Inc
1C:D4:0C	KriwanIn	Kriwan Industrie-Elektronik GmbH
1C:D5:E2	Shenzhen	Shenzhen YOUHUA Technology Co., Ltd
1C:D6:BD	Leedarso	Leedarson Lighting Co., Ltd.
1C:D6:BE	WistronN	Wistron Neweb Corporation
1C:DA:27	vivoMobi	vivo Mobile Communication Co., Ltd.
1C:DD:EA	Guangdon	Guangdong Oppo Mobile Telecommunications Corp.,Ltd
1C:DE:57	Fiberhom	Fiberhome Telecommunication Technologies Co.,LTD
1C:DE:A7	Cisco	Cisco Systems, Inc
1C:DF:0F	Cisco	Cisco Systems, Inc
1C:DF:52	TexasIns	Texas Instruments
1C:E1:65	Marshal	Marshal Corporation
1C:E1:92	Qisda	Qisda Corporation
1C:E2:CC	TexasIns	Texas Instruments
1C:E5:04	HuaweiTe	Huawei Technologies Co.,Ltd
1C:E5:7F	SamsungE	Samsung Electronics Co.,Ltd
1C:E6:1D	SamsungE	Samsung Electronics Co.,Ltd
1C:E6:2B	Apple	Apple, Inc.
1C:E6:39	HuaweiTe	Huawei Technologies Co.,Ltd
1C:E6:AD	HuaweiDe	Huawei Device Co., Ltd.
1C:E6:C7	Cisco	Cisco Systems, Inc
1C:E8:5D	Cisco	Cisco Systems, Inc
1C:EA:0B	Edgecore	Edgecore Networks Corporation
1C:EA:1B	Nokia
1C:EC:72	Allradio	Allradio Co., Ltd
1C:ED:6F	AVMAudio	AVM Audiovisuelles Marketing und Computersysteme GmbH
1C:EE:C9	Elotouch	Elo touch solutions
1C:EE:E8	IlshinEl	Ilshin Elecom
1C:EF:03	Guangzho	Guangzhou V-SOLUTION Electronic Technology Co., Ltd.
1C:EF:CE	bebroele	bebro electronic GmbH
1C:F0:3E	Wearhaus	Wearhaus Inc.
1C:F0:61	SCAPS	SCAPS GmbH
1C:F2:9A	Google	Google, Inc.
1C:F4:2B	HuaweiDe	Huawei Device Co., Ltd.
1C:F4:CA	Private
1C:F5:E7	TurtleIn	Turtle Industry Co., Ltd.
1C:F8:D0	SamsungE	Samsung Electronics Co.,Ltd
1C:FA:68	Tp-LinkT	Tp-Link Technologies Co.,Ltd.
1C:FC:17	Cisco	Cisco Systems, Inc
1C:FC:BB	Realfict	Realfiction ApS
1C:FD:08	IEEERegi	IEEE Registration Authority
1C:FD:08:00:00:00/28	InSeatSo	InSeat Solutions, LLC
1C:FD:08:10:00:00/28	Shenzhen	Shenzhen SEWO Technology Co.,Ltd.
1C:FD:08:20:00:00/28	HiHi	HiHi Ltd
1C:FD:08:30:00:00/28	UmeoxInn	Umeox Innovations Co.,Ltd
1C:FD:08:40:00:00/28	SABIKOff	SABIK Offshore GmbH
1C:FD:08:50:00:00/28	BeijingH	Beijing Hengxin Rainbow Information Technology Co.,Ltd
1C:FD:08:60:00:00/28	A&BTechn	A&B Technology
1C:FD:08:70:00:00/28	sunweiti	sunweit industrial limited
1C:FD:08:80:00:00/28	ShenZhen	ShenZhen DeLippo Technology Co., LTD
1C:FD:08:90:00:00/28	CobhamSl	Cobham Slip Rings
1C:FD:08:A0:00:00/28	BanmakTe	Banmak Technogies Co.,Ltd
1C:FD:08:B0:00:00/28	guangzho	guangzhou huiqun intelligent technology co. LTD
1C:FD:08:C0:00:00/28	Shanghai	Shanghai YottaTech Co Ltd (上海尧它科技有限公司）
1C:FD:08:D0:00:00/28	TianjinK	Tianjin Keyvia Electric Co.,Ltd
1C:FD:08:E0:00:00/28	MeshboxF	Meshbox Foundation Pte. Ltd.
1C:FE:2B	AmazonTe	Amazon Technologies Inc.
1C:FE:A7	IDentyte	IDentytech Solutins Ltd.
1C:FF:59	SichuanT	Sichuan Tianyi Comheart Telecom Co.,LTD
20:01:4F	LineaRes	Linea Research Ltd
20:02:AF	MurataMa	Murata Manufacturing Co., Ltd.
20:04:0F	Dell	Dell Inc.
20:04:F3	HonorDev	Honor Device Co., Ltd.
20:05:05	RadmaxCo	Radmax Communication Private Limited
20:05:E8	InProMed	OOO InProMedia
20:08:89	zte	zte corporation
20:08:ED	HuaweiTe	Huawei Technologies Co.,Ltd
20:0A:0D	IEEERegi	IEEE Registration Authority
20:0A:0D:00:00:00/28	halstrup	halstrup-walcher GmbH
20:0A:0D:10:00:00/28	Wideband	Wideband Systems, Inc.
20:0A:0D:20:00:00/28	Netinovo	Netinovo Technologies(Shenzhen) Ltd
20:0A:0D:30:00:00/28	ClearlyI	Clearly IP Inc
20:0A:0D:40:00:00/28	Virtium
20:0A:0D:50:00:00/28	Shenzhen	Shenzhen Zhangyue Technology Co.,Ltd
20:0A:0D:60:00:00/28	AustinHu	Austin Hughes Electronics Ltd.
20:0A:0D:70:00:00/28	TecnintH	Tecnint HTE SRL
20:0A:0D:80:00:00/28	bcheck	bcheck NV
20:0A:0D:90:00:00/28	WelzekBe	Welzek (Beijing) Technologies Co, Ltd
20:0A:0D:A0:00:00/28	Irsap
20:0A:0D:B0:00:00/28	AmazonTe	Amazon Technologies Inc.
20:0A:0D:C0:00:00/28	sehwa
20:0A:0D:D0:00:00/28	BentlyEL	Bently & EL Co. Ltd.
20:0A:0D:E0:00:00/28	HANGZHOU	HANGZHOU DANGBEI NETWORK TECH.Co.,Ltd
20:0A:5E	Xiangsha	Xiangshan Giant Eagle Technology Developing Co., Ltd.
20:0B:16	TexasIns	Texas Instruments
20:0B:C7	HuaweiTe	Huawei Technologies Co.,Ltd
20:0B:CF	Nintendo	Nintendo Co.,Ltd
20:0C:86	GXIndia	GX India Pvt Ltd
20:0C:C8	Netgear
20:0D:B0	Shenzhen	Shenzhen Four Seas Global Link Network Technology Co., Ltd.
20:0E:2B	Apple	Apple, Inc.
20:0E:95	Iec–Tc9W	Iec – Tc9 Wg43
20:0F:70	Foxtech
20:10:7A	GemtekTe	Gemtek Technology Co., Ltd.
20:11:4E	MeteRSit	MeteRSit S.R.L.
20:12:57	MostLuck	Most Lucky Trading Ltd
20:12:D5	Scientec	Scientech Materials Corporation
20:13:E0	SamsungE	Samsung Electronics Co.,Ltd
20:16:3D	Integrat	Integrated Device Technology (Malaysia) Sdn. Bhd.
20:16:42	Microsof	Microsoft Corporation
20:16:B9	IntelCor	Intel Corporate
20:16:D8	LiteonTe	Liteon Technology Corporation
20:17:42	LGElectr	LG Electronics
20:18:0E	Shenzhen	Shenzhen Sunchip Technology Co., Ltd
20:1A:06	CompalIn	Compal Information (Kunshan) Co., Ltd.
20:1A:94	Apple	Apple, Inc.
20:1B:88	Dongguan	Dongguan Liesheng Electronic Co., Ltd.
20:1B:C9	JuniperN	Juniper Networks
20:1D:03	Elatec	Elatec GmbH
20:1E:88	IntelCor	Intel Corporate
20:1F:31	IntenoBr	Inteno Broadband Technology AB
20:1F:3B	Google	Google, Inc.
20:1F:54	Raisecom	Raisecom Technology CO., LTD
20:20:27	Shenzhen	Shenzhen Sundray Technologies Company Limited
20:21:A5	LGElectr	LG Electronics (Mobile Communications)
20:25:64	Pegatron	Pegatron Corporation
20:25:98	Teleview
20:25:D2	Fiberhom	Fiberhome Telecommunication Technologies Co.,LTD
20:26:81	TecnoMob	Tecno Mobile Limited
20:28:3E	HuaweiTe	Huawei Technologies Co.,Ltd
20:28:BC	Visionsc	Visionscape Co,. Ltd.
20:2A:C5	Petite-E	Petite-En
20:2B:20	CloudNet	Cloud Network Technology Singapore Pte. Ltd.
20:2B:C1	HuaweiTe	Huawei Technologies Co.,Ltd
20:2C:B7	KongYueE	Kong Yue Electronics & Information Industry (Xinhui) Ltd.
20:2D:07	SamsungE	Samsung Electronics Co.,Ltd
20:2D:23	Collinea	Collinear Networks Inc.
20:2D:F8	DigitalM	Digital Media Cartridge Ltd.
20:31:1C	vivoMobi	vivo Mobile Communication Co., Ltd.
20:31:8D	Giax	Giax GmbH
20:31:EB	Hdsn
20:32:33	Shenzhen	Shenzhen Bilian Electronic Co.，Ltd
20:32:6C	SamsungE	Samsung Electronics Co.,Ltd
20:32:C6	Apple	Apple, Inc.
20:34:FB	XiaomiCo	Xiaomi Communications Co Ltd
20:36:26	TP-Link	TP-Link Corporation Limited
20:36:5B	Megafone	Megafone Limited
20:36:D7	Shanghai	Shanghai Reacheng Communication Technology Co.,Ltd
20:37:06	Cisco	Cisco Systems, Inc
20:37:A5	Apple	Apple, Inc.
20:37:BC	KuipersE	Kuipers Electronic Engineering BV
20:39:56	HMDGloba	HMD Global Oy
20:3A:07	Cisco	Cisco Systems, Inc
20:3A:43	IntelCor	Intel Corporate
20:3A:EF	Sivantos	Sivantos GmbH
20:3B:69	vivoMobi	vivo Mobile Communication Co., Ltd.
20:3C:AE	Apple	Apple, Inc.
20:3C:C0	BeijingT	Beijing Tosee Technology Co., Ltd.
20:3D:66	ARRISGro	ARRIS Group, Inc.
20:3D:B2	HuaweiTe	Huawei Technologies Co.,Ltd
20:3D:BD	LGInnote	LG Innotek
20:40:05	feno	feno GmbH
20:40:6A	AMPAKTec	AMPAK Technology,Inc.
20:41:5A	Smartehd	Smarteh d.o.o.
20:41:81	ESYSEEmb	ESYSE GmbH Embedded Systems Engineering
20:44:3A	Schneide	Schneider Electric Asia Pacific Ltd
20:44:41	RemoteSo	Remote Solution
20:46:A1	VECOW	VECOW Co., Ltd
20:46:F9	Advanced	Advanced Network Devices (dba:AND)
20:47:47	Dell	Dell Inc.
20:47:DA	XiaomiCo	Xiaomi Communications Co Ltd
20:47:ED	SkyUk	Sky Uk Limited
20:4A:AA	HanscanS	Hanscan Spain S.A.
20:4B:22	SunnovoI	Sunnovo International Limited
20:4C:03	ArubaaHe	Aruba, a Hewlett Packard Enterprise Company
20:4C:6D	HugoBren	Hugo Brennenstuhl Gmbh & Co. KG.
20:4C:9E	Cisco	Cisco Systems, Inc
20:4E:6B	Axxanais	Axxana(israel) ltd
20:4E:71	JuniperN	Juniper Networks
20:4E:7F	Netgear
20:4E:F6	AzureWav	AzureWave Technology Inc.
20:50:E7	AMPAKTec	AMPAK Technology,Inc.
20:53:83	HuaweiTe	Huawei Technologies Co.,Ltd
20:53:CA	RiskTech	Risk Technology Ltd
20:54:76	Sony	Sony Corporation
20:54:FA	HuaweiTe	Huawei Technologies Co.,Ltd
20:55:31	SamsungE	Samsung Electronics Co.,Ltd
20:55:32	GotechIn	Gotech International Technology Limited
20:57:21	SalixTec	Salix Technology CO., Ltd.
20:57:9E	HunanFn-	Hunan Fn-Link Technology Limited
20:57:AF	Shenzhen	Shenzhen FH-NET OPTOELECTRONICS CO.,LTD
20:58:69	RuckusWi	Ruckus Wireless
20:59:A0	ParagonT	Paragon Technologies Inc.
20:5A:00	Coval
20:5B:2A	Private
20:5B:5E	Shenzhen	Shenzhen Wonhe Technology Co., Ltd
20:5C:FA	Yangzhou	Yangzhou ChangLian Network Technology Co,ltd.
20:5D:47	vivoMobi	vivo Mobile Communication Co., Ltd.
20:5E:64	HuaweiDe	Huawei Device Co., Ltd.
20:5E:97	Nokia
20:5E:F7	SamsungE	Samsung Electronics Co.,Ltd
20:5F:3D	Cambridg	Cambridge Communication Systems Ltd
20:62:74	Microsof	Microsoft Corporation
20:62:96	Shenzhen	Shenzhen Malio Technology Co.,Ltd
20:63:5F	Abeeway
20:64:32	SamsungE	Samsung Electro Mechanics Co., Ltd.
20:64:CB	Guangdon	Guangdong Oppo Mobile Telecommunications Corp.,Ltd
20:64:DE	SunitecE	Sunitec Enterprise Co.,Ltd
20:65:8E	HuaweiTe	Huawei Technologies Co.,Ltd
20:66:CF	FreeboxS	Freebox Sas
20:66:FD	Constell	Constell8 Nv
20:67:7C	HewlettP	Hewlett Packard Enterprise
20:67:B1	Pluto	Pluto inc.
20:67:E0	Shenzhen	Shenzhen iComm Semiconductor CO.,LTD
20:68:9D	LiteonTe	Liteon Technology Corporation
20:69:80	Apple	Apple, Inc.
20:6A:8A	WistronI	Wistron Infocomm (Zhongshan) Corporation
20:6A:94	HitronTe	Hitron Technologies. Inc
20:6A:FF	AtlasEle	Atlas Elektronik UK Limited
20:6B:E7	Tp-LinkT	Tp-Link Technologies Co.,Ltd.
20:6C:8A	ExtremeN	Extreme Networks, Inc.
20:6D:31	Firewall	Firewalla Inc
20:6E:9C	SamsungE	Samsung Electronics Co.,Ltd
20:6F:EC	BraemacC	Braemac CA LLC
20:71:9E	SFTechno	SF Technology Co.,Ltd
20:73:55	ARRISGro	ARRIS Group, Inc.
20:74:54	vivoMobi	vivo Mobile Communication Co., Ltd.
20:74:CF	Shenzhen	Shenzhen Voxtech Co.,Ltd
20:76:00	Actionte	Actiontec Electronics, Inc
20:76:8F	Apple	Apple, Inc.
20:76:93	LenovoBe	Lenovo (Beijing) Limited.
20:77:59	OpticalN	Optical Network Video Technologies (Shenzhen) Co., Ltd.
20:78:0B	DeltaFau	Delta Faucet Company
20:78:52	NokiaSol	Nokia Solutions and Networks GmbH & Co. KG
20:78:CD	Apple	Apple, Inc.
20:78:F0	Apple	Apple, Inc.
20:79:18	IntelCor	Intel Corporate
20:7B:D2	ASIXElec	ASIX Electronics Corporation
20:7C:14	Qotom
20:7C:8F	QuantaMi	Quanta Microsystems,Inc.
20:7D:74	Apple	Apple, Inc.
20:80:58	Ciena	Ciena Corporation
20:80:97	Shenzhen	Shenzhen OXO Technology limited
20:82:6A	Guangdon	Guangdong Oppo Mobile Telecommunications Corp.,Ltd
20:82:C0	XiaomiCo	Xiaomi Communications Co Ltd
20:83:F8	Advanced	Advanced Digital Broadcast SA
20:84:F5	YufeiInn	Yufei Innovation Software(Shenzhen) Co., Ltd.
20:85:8C	Assa
20:85:93	IEEERegi	IEEE Registration Authority
20:85:93:00:00:00/28	Hemina	Hemina Spa
20:85:93:10:00:00/28	Networki	Networking Services Corp
20:85:93:20:00:00/28	MidConti	Mid Continent Controls, Inc.
20:85:93:30:00:00/28	Unilumin	Unilumin Group Co.,Ltd
20:85:93:40:00:00/28	Kloudspo	Kloudspot Inc
20:85:93:50:00:00/28	Wave-InC	Wave-In Communication
20:85:93:60:00:00/28	Eilersen	Eilersen Electric A/S
20:85:93:70:00:00/28	GreatLit	Great Lite International
20:85:93:80:00:00/28	AassetSe	Aasset Security
20:85:93:90:00:00/28	Mastodon	Mastodon Design
20:85:93:A0:00:00/28	H3Indust	H3 Industries, Inc.
20:85:93:B0:00:00/28	IOGProdu	IOG Products LLC
20:85:93:C0:00:00/28	Reglopla	Regloplas AG
20:85:93:D0:00:00/28	Shanghai	Shanghai Kenmyond Industrial Network Equipment Co.,Ltd
20:85:93:E0:00:00/28	Dynaudio
20:87:56	Siemens	Siemens Ag
20:87:AC	AESmotom	AES motomation
20:87:EC	HuaweiTe	Huawei Technologies Co.,Ltd
20:89:6F	Fiberhom	Fiberhome Telecommunication Technologies Co.,LTD
20:89:84	CompalIn	Compal Information (Kunshan) Co., Ltd.
20:89:86	zte	zte corporation
20:89:8A	Shenzhen	Shenzhen Skyworth Digital Technology CO., Ltd
20:8B:37	Skyworth	Skyworth Digital Technology(Shenzhen) Co.,Ltd
20:8B:D1	NXPSemic	NXP Semiconductor (Tianjin) LTD.
20:8C:47	Tenstorr	Tenstorrent Inc
20:8C:86	HuaweiTe	Huawei Technologies Co.,Ltd
20:90:6F	Shenzhen	Shenzhen Tencent Computer System Co., Ltd.
20:91:48	TexasIns	Texas Instruments
20:91:8A	Profalux
20:91:D9	IM	I'M Spa
20:93:4D	FujianSt	Fujian Star-Net Communication Co.,Ltd
20:96:8A	ChinaMob	China Mobile (Hangzhou) Information Technology Co., Ltd.
20:98:D8	Shenzhen	Shenzhen Yingdakang Technology CO., LTD
20:9A:7D	Sagemcom	Sagemcom Broadband SAS
20:9A:E9	Volacomm	Volacomm Co., Ltd
20:9B:A5	JIAXINGG	JIAXING GLEAD Electronics Co.,Ltd
20:9B:CD	Apple	Apple, Inc.
20:9B:E6	Guangzho	Guangzhou Shiyuan Electronic Technology Company Limited
20:9C:B4	ArubaaHe	Aruba, a Hewlett Packard Enterprise Company
20:9E:79	Universa	Universal Electronics, Inc.
20:9E:F7	ExtremeN	Extreme Networks, Inc.
20:A1:71	AmazonTe	Amazon Technologies Inc.
20:A2:E4	Apple	Apple, Inc.
20:A2:E7	Lee-Dick	Lee-Dickens Ltd
20:A5:CB	Apple	Apple, Inc.
20:A6:0C	XiaomiCo	Xiaomi Communications Co Ltd
20:A6:80	HuaweiTe	Huawei Technologies Co.,Ltd
20:A6:CD	HewlettP	Hewlett Packard Enterprise
20:A7:66	HuaweiTe	Huawei Technologies Co.,Ltd
20:A7:83	miContro	miControl GmbH
20:A7:87	BointecT	Bointec Taiwan Corporation Limited
20:A7:F9	Shenzhen	Shenzhen Olanboa Technology Co., Ltd
20:A8:B9	Siemens	Siemens Ag
20:A9:0E	TCTmobil	TCT mobile ltd
20:A9:9B	Microsof	Microsoft Corporation
20:AA:25	Ip-Net	Ip-Net Llc
20:AA:4B	Cisco-Li	Cisco-Linksys, LLC
20:AB:37	Apple	Apple, Inc.
20:AB:48	HuaweiTe	Huawei Technologies Co.,Ltd
20:AC:9C	ChinaTel	China Telecom Corporation Limited
20:AD:56	Continen	Continental Automotive Systems Inc.
20:AF:1B	SteelSer	SteelSeries ApS
20:B0:01	Technico	Technicolor Delivery Technologies Belgium NV
20:B0:F7	Enclustr	Enclustra GmbH
20:B3:99	Enterasy	Enterasys
20:B5:C6	MimosaNe	Mimosa Networks
20:B7:30	TeconGro	TeconGroup, Inc
20:B7:80	ToshibaV	Toshiba Visual Solutions Corporation Co.,Ltd
20:B7:C0	OMICRONe	OMICRON electronics GmbH
20:B8:68	Motorola	Motorola Mobility LLC, a Lenovo Company
20:BB:76	COLGIOVA	COL GIOVANNI PAOLO SpA
20:BB:C0	Cisco	Cisco Systems, Inc
20:BB:C6	JabilCir	Jabil Circuit Hungary Ltd.
20:BE:CD	eero	eero inc.
20:BF:DB	Dvl
20:C0:47	Verizon
20:C0:6D	Shenzhen	Shenzhen Spacetek Technology Co.,Ltd
20:C1:9B	IntelCor	Intel Corporate
20:C1:AF	iWitDigi	i Wit Digital Co., Limited
20:C3:8F	TexasIns	Texas Instruments
20:C3:A4	RetailNe	RetailNext
20:C6:0D	Shanghai	Shanghai annijie Information technology Co.,LTD
