00:50:C2:1C:30:00/36	TTelectr	TT electronics plc
00:50:C2:1C:40:00/36	PalmSolu	Palm Solutions Group
00:50:C2:1C:50:00/36	Flander	Flander Oy
00:50:C2:1C:60:00/36	RemcoIta	Remco Italia Spa
00:50:C2:1C:70:00/36	TwinDeve	Twin Development S.A.
00:50:C2:1C:80:00/36	Euphonyt	Euphony technology CO., LTD.
00:50:C2:1C:90:00/36	modas	modas GmbH
00:50:C2:1C:A0:00/36	EVERSp	EVER Sp. z o.o.
00:50:C2:1C:B0:00/36	quantumB	quantumBEAM Limited
00:50:C2:1C:C0:00/36	WaveIP
00:50:C2:1C:D0:00/36	INCAAInf	INCAA Informatica Italia srl
00:50:C2:1C:E0:00/36	DatatekA	Datatek Applications, Inc.
00:50:C2:1C:F0:00/36	Lifetime	Lifetime Memory Products, Inc.
00:50:C2:1D:00:00/36	YazakiNo	Yazaki North America, Inc.
00:50:C2:1D:10:00/36	Benchmar	Benchmark Electronics
00:50:C2:1D:20:00/36	Shenyang	Shenyang Internet Technology Inc
00:50:C2:1D:30:00/36	Synopsys
00:50:C2:1D:40:00/36	PhaseIVE	Phase IV Engineering Inc.
00:50:C2:1D:50:00/36	Redpoint	Redpoint Controls
00:50:C2:1D:60:00/36	shanghai	shanghai trend intelligent systems CO.,LTD
00:50:C2:1D:70:00/36	PleoraTe	Pleora Technologies Inc.
00:50:C2:1D:80:00/36	Guardian	Guardian Controls International Ltd
00:50:C2:1D:90:00/36	Edc
00:50:C2:1D:A0:00/36	GFIChron	GFI Chrono Time
00:50:C2:1D:B0:00/36	AppliedE	Applied Systems Engineering, Inc.
00:50:C2:1D:C0:00/36	ImardaNe	Imarda New Zealand Limited
00:50:C2:1D:D0:00/36	peikerac	peiker acustic GmbH
00:50:C2:1D:E0:00/36	ReliOn	ReliOn Inc.
00:50:C2:1D:F0:00/36	LuleaUni	Lulea University of Technology
00:50:C2:1E:00:00/36	Cognex	Cognex Corporation
00:50:C2:1E:10:00/36	Automaat	Automaatiotekniikka Seppo Saari Oy
00:50:C2:1E:20:00/36	DIGITRON	DIGITRONIC Automationsanlagen GmbH
00:50:C2:1E:30:00/36	Bluesock	Bluesocket, Inc.
00:50:C2:1E:40:00/36	Soronti	Soronti, Inc.
00:50:C2:1E:50:00/36	DorletSa	Dorlet Sau
00:50:C2:1E:60:00/36	UnitedTr	United Tri-Tech Corporation
00:50:C2:1E:70:00/36	SmithMet	Smith Meter, Inc.
00:50:C2:1E:80:00/36	Metrotec	Metrotech
00:50:C2:1E:90:00/36	RanchNet	Ranch Networks
00:50:C2:1E:A0:00/36	Dave	Dave Srl
00:50:C2:1E:B0:00/36	DataResp	Data Respons A/S
00:50:C2:1E:C0:00/36	COSMO	COSMO co.,ltd.
00:50:C2:1E:D0:00/36	EMKA-ele	EMKA-electronic AG
00:50:C2:1E:E0:00/36	PertoPer	Perto Periféricos de Automação S.A.
00:50:C2:1E:F0:00/36	M2Techno	M2 Technology Pty Ltd
00:50:C2:1F:00:00/36	EXIWirel	EXI Wireless Systems Inc.
00:50:C2:1F:10:00/36	SKYCompu	SKY Computers, Inc.
00:50:C2:1F:20:00/36	Tattile	Tattile srl
00:50:C2:1F:30:00/36	Radionor	Radionor Communications
00:50:C2:1F:40:00/36	Covia	Covia, Inc
00:50:C2:1F:50:00/36	AbestCom	Abest Communication Corp.
00:50:C2:1F:60:00/36	BAEContr	BAE SYSTEMS Controls
00:50:C2:1F:70:00/36	ARCCréat	ARC'Créations
00:50:C2:1F:80:00/36	Ultracke	Ultracker Technology
00:50:C2:1F:90:00/36	FrSauter	Fr. Sauter AG
00:50:C2:1F:A0:00/36	SPContro	SP Controls, Inc
00:50:C2:1F:B0:00/36	Willowgl	Willowglen Systems Inc.
00:50:C2:1F:C0:00/36	EDD	EDD Srl
00:50:C2:1F:D0:00/36	SouthWin	SouthWing S.L.
00:50:C2:1F:E0:00/36	Safetran	Safetran Traffic Systems Inc.
00:50:C2:1F:F0:00/36	ProductD	Product Design Dept., Sohwa Corporation
00:50:C2:20:00:00/36	Whittier	Whittier Mailing Products, Inc.
00:50:C2:20:10:00/36	OlympusN	OlympusNDT
00:50:C2:20:20:00/36	AudioRid	Audio Riders Oy
00:50:C2:20:30:00/36	Vocality	Vocality International Ltd
00:50:C2:20:40:00/36	AlgodueE	Algodue Elettronica Srl
00:50:C2:20:50:00/36	SystIng
00:50:C2:20:60:00/36	Windmill	Windmill Innovations
00:50:C2:20:70:00/36	Solectro	Solectron Ind.Com.Servs.Exportadora do Brasil Ltda.
00:50:C2:20:80:00/36	nNovia	nNovia, Inc.
00:50:C2:20:90:00/36	LK	LK Ltd
00:50:C2:20:A0:00/36	Ferrarie	Ferrari electronic AG
00:50:C2:20:B0:00/36	Rafael
00:50:C2:20:C0:00/36	Communic	Communication and Telemechanical Systems Company Limited
00:50:C2:20:D0:00/36	Varisys	Varisys Ltd
00:50:C2:20:E0:00/36	PYRAMIDC	PYRAMID Computer GmbH
00:50:C2:20:F0:00/36	OMICRONe	OMICRON electronics GmbH
00:50:C2:21:00:00/36	Innovics	Innovics Wireless Inc
00:50:C2:21:10:00/36	Hochschu	Hochschule für Technik, Wirtschaft und Kultur Leipzig (FH)
00:50:C2:21:20:00/36	4Links	4Links Limited
00:50:C2:21:30:00/36	SysAware	SysAware S.A.R.L.
00:50:C2:21:40:00/36	OshimiSy	Oshimi System Design Inc.
00:50:C2:21:50:00/36	VoiceCom	VoiceCom AG
00:50:C2:21:60:00/36	LevelCon	Level Control Systems
00:50:C2:21:70:00/36	LinnProd	Linn Products Ltd
00:50:C2:21:80:00/36	NansenSA	Nansen S. A. - Instrumentos de Precisão
00:50:C2:21:90:00/36	Aeroflex	Aeroflex GmbH
00:50:C2:21:A0:00/36	Mst	Mst Systems Limited
00:50:C2:21:B0:00/36	GDMissio	GD Mission Systems
00:50:C2:21:C0:00/36	Fracarro	Fracarro srl
